country,Suma de number_of_people
China,100505973
India,52994710
Russia,33903781
United States,26438346
Indonesia,13587011
Ukraine,13053052
Germany,10819770
Brazil,9589019
Japan,9210437
Pakistan,7745192
Italy,6614384
United Kingdom,6603062
Bangladesh,6123691
Egypt,5995471
Vietnam,5323920
Poland,5233134
France,4729313
Romania,4474916
Nigeria,4176488
Turkey,4167835
Iran,3867575
Spain,3726864
Philippines,3724705
Myanmar,3522423
Mexico,3244515
Argentina,2836128
Uzbekistan,2749832
Thailand,2572195
Morocco,2551096
Bulgaria,2423467
Belarus,2310287
North Korea,2241454
South Africa,2234693
Kazakhstan,2232449
Canada,2213352
Algeria,2123720
South Korea,2078568
Democratic Republic of Congo,1989495
Hungary,1938728
Ethiopia,1936154
Sudan,1887465
Serbia,1871623
Iraq,1655522
Czechia,1652941
Colombia,1626208
Afghanistan,1607042
Greece,1453438
Australia,1441279
Netherlands,1334457
Sweden,1213946
Malaysia,1194056
Portugal,1168117
Venezuela,1158991
Tanzania,1155416
Sri Lanka,1149527
Yemen,1110837
Syria,1056981
Belgium,1037826
Austria,1031672
Azerbaijan,1026714
Georgia,1018279
Cuba,1003002
Saudi Arabia,982797
Taiwan,981658
Nepal,913752
Slovakia,818968
Kenya,798827
Ghana,794129
Madagascar,773591
Tunisia,769978
Croatia,750842
Moldova,746997
Switzerland,722512
Chile,722163
Finland,695601
Peru,681021
Mozambique,666919
Lithuania,657865
Uganda,632868
Cambodia,610359
Haiti,601707
Denmark,579329
Cameroon,546358
Latvia,544361
Tajikistan,535923
Angola,525047
Kyrgyzstan,517868
Cote d'Ivoire,508223
Dominican Republic,502583
Bosnia and Herzegovina,500781
Norway,490252
Ecuador,443431
Burkina Faso,441449
Turkmenistan,438094
Mali,423975
Zimbabwe,408352
Armenia,388635
Malawi,371555
Somalia,366002
Guinea,363385
Lebanon,362107
North Macedonia,360839
Zambia,360770
Israel,353386
Senegal,344242
Bolivia,336227
Ireland,334089
Niger,329937
New Zealand,328560
Uruguay,316537
Laos,309868
Chad,307518
Guatemala,304449
Papua New Guinea,293524
Estonia,280754
Rwanda,278336
Honduras,270940
Albania,270603
Burundi,262614
Benin,246509
Puerto Rico,245108
Libya,238179
Mongolia,231046
El Salvador,222986
Slovenia,220690
Paraguay,213030
Sierra Leone,204497
Jordan,201236
South Sudan,185687
Nicaragua,168887
Central African Republic,166728
Singapore,166594
Togo,163134
Congo,157498
Jamaica,151968
Palestine,148182
Costa Rica,141587
Eritrea,134500
Oman,132123
Panama,118409
United Arab Emirates,113217
Liberia,105814
Lesotho,105072
Trinidad and Tobago,103599
Montenegro,101092
Mauritania,95870
Mauritius,94929
Namibia,94038
Cyprus,83156
Botswana,81565
Kuwait,72602
Gabon,64442
Guyana,63771
Fiji,62710
Guinea-Bissau,52785
Gambia,48140
Solomon Islands,48085
Luxembourg,41754
Malta,39696
Timor,39655
Eswatini,37935
Suriname,30883
Bhutan,25967
Comoros,25908
Bahrain,25731
Barbados,23478
Equatorial Guinea,21631
Cape Verde,21424
Iceland,21405
Djibouti,20843
Qatar,19305
Bahamas,18249
Vanuatu,16362
Samoa,13383
Maldives,11463
Brunei,10987
United States Virgin Islands,10542
Belize,9582
Saint Lucia,9576
Guam,9418
Saint Vincent and the Grenadines,8390
Kiribati,8385
Micronesia (country),8366
Grenada,7700
Dominica,7296
Seychelles,5746
Sao Tome and Principe,5171
Monaco,1627
Bermuda,830
Saint Kitts and Nevis,208
