country,Suma de deaths_by_pop,Máx. de deaths_by_pop
Nepal,149,149
North Korea,127,127
India,94,94
Papua New Guinea,94,94
Myanmar,88,88
Denmark,82,82
United Kingdom,82,82
Bhutan,81,81
China,80,80
Spain,78,78
United States,72,72
Belgium,68,68
Portugal,67,67
Solomon Islands,65,65
Sri Lanka,65,65
Uruguay,65,65
Netherlands,64,64
Hungary,59,59
Greece,58,58
Kazakhstan,58,58
Norway,57,57
Germany,56,56
Ireland,56,56
Lesotho,56,56
New Zealand,55,55
Canada,54,54
Italy,52,52
Serbia,52,52
Australia,51,51
Puerto Rico,49,49
Cyprus,48,48
Sweden,48,48
Argentina,47,47
Bangladesh,47,47
Armenia,45,45
Fiji,45,45
Turkey,45,45
Croatia,44,44
Japan,44,44
Luxembourg,44,44
Taiwan,43,43
Honduras,42,42
Laos,42,42
Mauritius,42,42
Pakistan,42,42
Austria,41,41
Bulgaria,41,41
Cuba,41,41
Indonesia,41,41
Vietnam,41,41
Brazil,40,40
Colombia,40,40
Romania,40,40
Switzerland,39,39
Eritrea,38,38
Finland,38,38
Chile,37,37
Namibia,37,37
Bolivia,35,35
Central African Republic,35,35
France,35,35
Haiti,35,35
Thailand,35,35
Cambodia,34,34
Mexico,34,34
Philippines,34,34
South Africa,34,34
Somalia,33,33
Bosnia and Herzegovina,32,32
Botswana,32,32
North Macedonia,32,32
South Korea,32,32
Costa Rica,31,31
Georgia,31,31
Slovenia,31,31
Poland,30,30
Eswatini,29,29
Mali,29,29
Morocco,29,29
Albania,28,28
Israel,28,28
Kyrgyzstan,28,28
Guinea,27,27
Madagascar,27,27
Moldova,27,27
Russia,27,27
Belarus,26,26
Burundi,26,26
Malaysia,26,26
Ukraine,26,26
United Arab Emirates,26,26
Afghanistan,25,25
Egypt,25,25
El Salvador,25,25
Guinea-Bissau,25,25
Lithuania,25,25
Tunisia,25,25
Venezuela,25,25
Ecuador,24,24
Lebanon,24,24
Panama,24,24
Peru,24,24
Rwanda,24,24
Sierra Leone,24,24
Estonia,23,23
Ghana,23,23
Jamaica,23,23
Nicaragua,23,23
Azerbaijan,22,22
Chad,22,22
Gambia,22,22
Iran,22,22
Niger,22,22
Senegal,22,22
Tajikistan,22,22
Zimbabwe,22,22
Algeria,21,21
Cameroon,21,21
Latvia,21,21
Slovakia,21,21
Yemen,21,21
Dominican Republic,20,20
Paraguay,20,20
Sudan,20,20
Togo,20,20
Trinidad and Tobago,20,20
Benin,19,19
Kenya,19,19
Gabon,18,18
Libya,18,18
Angola,17,17
Burkina Faso,17,17
Guatemala,17,17
Mongolia,17,17
Uganda,17,17
Zambia,17,17
Malawi,16,16
Mozambique,16,16
Tanzania,16,16
Ethiopia,15,15
Mauritania,15,15
Nigeria,15,15
Saudi Arabia,15,15
Singapore,15,15
South Sudan,14,14
Syria,14,14
Uzbekistan,14,14
Liberia,13,13
Jordan,12,12
Palestine,12,12
Iraq,11,11
Oman,9,9
Kuwait,8,8
Turkmenistan,8,8
Congo,0,0
Cote d'Ivoire,0,0
Czechia,0,0
Democratic Republic of Congo,0,0
Timor,0,0
